time,status,score
2025-12-27 03:05:38,ANORMAL HAREKET,71656.0
2025-12-27 03:05:38,ANORMAL HAREKET,64761.0
2025-12-27 03:05:38,ANORMAL HAREKET,12042.0
2025-12-27 03:05:38,ANORMAL HAREKET,1794.0
2025-12-27 03:05:38,ANORMAL HAREKET,22435.0
2025-12-27 03:05:38,ANORMAL HAREKET,72901.0
2025-12-27 03:05:38,ANORMAL HAREKET,90590.0
2025-12-27 03:05:38,ANORMAL HAREKET,85019.0
2025-12-27 03:05:38,ANORMAL HAREKET,97016.0
2025-12-27 03:05:39,ANORMAL HAREKET,111907.0
2025-12-27 03:05:39,ANORMAL HAREKET,85298.0
2025-12-27 03:05:39,ANORMAL HAREKET,58479.0
2025-12-27 03:05:39,ANORMAL HAREKET,21664.0
2025-12-27 03:05:39,ANORMAL HAREKET,11746.0
2025-12-27 03:05:39,ANORMAL HAREKET,12777.0
2025-12-27 03:05:39,ANORMAL HAREKET,10626.0
2025-12-27 03:05:39,ANORMAL HAREKET,50458.0
2025-12-27 03:05:39,ANORMAL HAREKET,100593.0
2025-12-27 03:05:39,ANORMAL HAREKET,101579.0
2025-12-27 03:05:39,ANORMAL HAREKET,100866.0
2025-12-27 03:05:39,ANORMAL HAREKET,86681.0
2025-12-27 03:05:39,ANORMAL HAREKET,71609.0
2025-12-27 03:05:40,ANORMAL HAREKET,58261.0
2025-12-27 03:05:40,ANORMAL HAREKET,41352.0
2025-12-27 03:05:40,ANORMAL HAREKET,42444.0
2025-12-27 03:05:40,ANORMAL HAREKET,40886.0
2025-12-27 03:05:40,ANORMAL HAREKET,28022.0
2025-12-27 03:05:40,ANORMAL HAREKET,8434.0
2025-12-27 03:05:40,ANORMAL HAREKET,26289.0
2025-12-27 03:05:40,ANORMAL HAREKET,34328.0
2025-12-27 03:05:40,ANORMAL HAREKET,38237.0
2025-12-27 03:05:40,ANORMAL HAREKET,87493.0
2025-12-27 03:05:41,ANORMAL HAREKET,104472.0
2025-12-27 03:05:41,ANORMAL HAREKET,102839.0
2025-12-27 03:05:41,ANORMAL HAREKET,49503.0
2025-12-27 03:05:41,ANORMAL HAREKET,60949.0
2025-12-27 03:05:41,ANORMAL HAREKET,83622.0
2025-12-27 03:05:41,ANORMAL HAREKET,76741.0
2025-12-27 03:05:41,ANORMAL HAREKET,7283.0
2025-12-27 03:05:42,ANORMAL HAREKET,63642.0
2025-12-27 03:05:42,ANORMAL HAREKET,115697.0
2025-12-27 03:05:42,ANORMAL HAREKET,118349.0
2025-12-27 03:05:42,ANORMAL HAREKET,110877.0
2025-12-27 03:05:42,ANORMAL HAREKET,106907.0
2025-12-27 03:05:42,ANORMAL HAREKET,64584.0
2025-12-27 03:05:43,Sistem aktif (normal),0.0
2025-12-27 03:05:44,ANORMAL HAREKET,10169.0
2025-12-27 03:05:44,ANORMAL HAREKET,26486.0
2025-12-27 03:05:44,ANORMAL HAREKET,44423.0
2025-12-27 03:05:44,ANORMAL HAREKET,60539.0
2025-12-27 03:05:44,ANORMAL HAREKET,68286.0
2025-12-27 03:05:44,ANORMAL HAREKET,69265.0
2025-12-27 03:05:44,ANORMAL HAREKET,58711.0
2025-12-27 03:05:44,ANORMAL HAREKET,46401.0
2025-12-27 03:05:44,ANORMAL HAREKET,32707.0
2025-12-27 03:05:44,ANORMAL HAREKET,6459.0
2025-12-27 03:05:45,ANORMAL HAREKET,16835.0
2025-12-27 03:05:45,ANORMAL HAREKET,33722.0
2025-12-27 03:05:45,ANORMAL HAREKET,42923.0
2025-12-27 03:05:45,ANORMAL HAREKET,55005.0
2025-12-27 03:05:45,ANORMAL HAREKET,60269.0
2025-12-27 03:05:45,ANORMAL HAREKET,62588.0
2025-12-27 03:05:45,ANORMAL HAREKET,64775.0
2025-12-27 03:05:45,ANORMAL HAREKET,56972.0
2025-12-27 03:05:45,ANORMAL HAREKET,42602.0
2025-12-27 03:05:45,ANORMAL HAREKET,26082.0
2025-12-27 03:05:45,ANORMAL HAREKET,12878.0
2025-12-27 03:05:45,ANORMAL HAREKET,4190.0
2025-12-27 03:05:46,ANORMAL HAREKET,1639.0
2025-12-27 03:05:46,ANORMAL HAREKET,4196.0
2025-12-27 03:05:46,ANORMAL HAREKET,5482.0
2025-12-27 03:05:46,ANORMAL HAREKET,3885.0
2025-12-27 03:05:47,ANORMAL HAREKET,3533.0
2025-12-27 03:05:47,ANORMAL HAREKET,4000.0
2025-12-27 03:05:47,ANORMAL HAREKET,3938.0
2025-12-27 03:05:47,ANORMAL HAREKET,3189.0
2025-12-27 03:05:47,ANORMAL HAREKET,2515.0
2025-12-27 03:05:47,ANORMAL HAREKET,1985.0
2025-12-27 03:05:47,ANORMAL HAREKET,1601.0
2025-12-27 03:05:47,ANORMAL HAREKET,1579.0
2025-12-27 03:05:47,ANORMAL HAREKET,2424.0
2025-12-27 03:05:47,ANORMAL HAREKET,3268.0
2025-12-27 03:05:48,ANORMAL HAREKET,3411.0
2025-12-27 03:05:48,ANORMAL HAREKET,2033.0
2025-12-27 03:05:48,ANORMAL HAREKET,12857.0
2025-12-27 03:05:48,ANORMAL HAREKET,38360.0
2025-12-27 03:05:48,ANORMAL HAREKET,62439.0
2025-12-27 03:05:48,ANORMAL HAREKET,80552.0
2025-12-27 03:05:48,ANORMAL HAREKET,75966.0
2025-12-27 03:05:48,ANORMAL HAREKET,72518.0
2025-12-27 03:05:49,ANORMAL HAREKET,61887.0
2025-12-27 03:05:49,ANORMAL HAREKET,47363.0
2025-12-27 03:05:49,ANORMAL HAREKET,33938.0
2025-12-27 03:05:49,ANORMAL HAREKET,24135.0
2025-12-27 03:05:49,ANORMAL HAREKET,20729.0
2025-12-27 03:05:49,ANORMAL HAREKET,15382.0
2025-12-27 03:05:49,ANORMAL HAREKET,2538.0
2025-12-27 03:05:50,ANORMAL HAREKET,10471.0
2025-12-27 03:05:51,ANORMAL HAREKET,10731.0
2025-12-27 03:05:51,ANORMAL HAREKET,6355.0
2025-12-27 03:05:51,ANORMAL HAREKET,6149.0
2025-12-27 03:05:51,ANORMAL HAREKET,11859.0
2025-12-27 03:05:51,ANORMAL HAREKET,15187.0
2025-12-27 03:05:51,ANORMAL HAREKET,9979.0
2025-12-27 03:05:51,ANORMAL HAREKET,6475.0
2025-12-27 03:05:51,ANORMAL HAREKET,5888.0
2025-12-27 03:05:51,ANORMAL HAREKET,10417.0
